Año,Periodo,Inflación de la zona euro
2005,Enero,1.9
2005,Febrero,2.1
2005,Marzo,2.2
2005,Abril,2.1
2005,Mayo,2
2005,Junio,2
2005,Julio,2.1
2005,Agosto,2.2
2005,Septiembre,2.6
2005,Octubre,2.5
2005,Noviembre,2.3
2005,Diciembre,2.3
2006,Enero,2.4
2006,Febrero,2.4
2006,Marzo,2.2
2006,Abril,2.4
2006,Mayo,2.5
2006,Junio,2.5
2006,Julio,2.4
2006,Agosto,2.3
2006,Septiembre,1.8
2006,Octubre,1.6
2006,Noviembre,1.8
2006,Diciembre,1.9
2007,Enero,1.8
2007,Febrero,1.8
2007,Marzo,1.9
2007,Abril,1.9
2007,Mayo,1.9
2007,Junio,1.9
2007,Julio,1.8
2007,Agosto,1.7
2007,Septiembre,2.1
2007,Octubre,2.5
2007,Noviembre,3.1
2007,Diciembre,3.1
2008,Enero,3.2
2008,Febrero,3.3
2008,Marzo,3.6
2008,Abril,3.3
2008,Mayo,3.7
2008,Junio,3.9
2008,Julio,4.1
2008,Agosto,3.8
2008,Septiembre,3.6
2008,Octubre,3.2
2008,Noviembre,2.1
2008,Diciembre,1.6
2009,Enero,1.1
2009,Febrero,1.2
2009,Marzo,0.6
2009,Abril,0.6
2009,Mayo,0
2009,Junio,-0.1
2009,Julio,-0.6
2009,Agosto,-0.2
2009,Septiembre,-0.3
2009,Octubre,-0.1
2009,Noviembre,0.5
2009,Diciembre,0.9
2010,Enero,0.9
2010,Febrero,0.8
2010,Marzo,1.6
2010,Abril,1.6
2010,Mayo,1.7
2010,Junio,1.5
2010,Julio,1.7
2010,Agosto,1.6
2010,Septiembre,1.9
2010,Octubre,1.9
2010,Noviembre,1.9
2010,Diciembre,2.2
2011,Enero,2.3
2011,Febrero,2.4
2011,Marzo,2.7
2011,Abril,2.8
2011,Mayo,2.7
2011,Junio,2.7
2011,Julio,2.6
2011,Agosto,2.5
2011,Septiembre,3
2011,Octubre,3
2011,Noviembre,3
2011,Diciembre,2.8
2012,Enero,2.7
2012,Febrero,2.7
2012,Marzo,2.7
2012,Abril,2.6
2012,Mayo,2.4
2012,Junio,2.4
2012,Julio,2.4
2012,Agosto,2.6
2012,Septiembre,2.6
2012,Octubre,2.5
2012,Noviembre,2.2
2012,Diciembre,2.2
2013,Enero,2
2013,Febrero,1.9
2013,Marzo,1.7
2013,Abril,1.2
2013,Mayo,1.4
2013,Junio,1.6
2013,Julio,1.6
2013,Agosto,1.3
2013,Septiembre,1.1
2013,Octubre,0.7
2013,Noviembre,0.9
2013,Diciembre,0.8
2014,Enero,0.8
2014,Febrero,0.7
2014,Marzo,0.5
2014,Abril,0.7
2014,Mayo,0.5
2014,Junio,0.5
2014,Julio,0.4
2014,Agosto,0.4
2014,Septiembre,0.3
2014,Octubre,0.4
2014,Noviembre,0.3
2014,Diciembre,-0.2
2015,Enero,-0.6
2015,Febrero,-0.3
2015,Marzo,-0.1
2015,Abril,0.2
2015,Mayo,0.6
2015,Junio,0.5
2015,Julio,0.5
2015,Agosto,0.4
2015,Septiembre,0.2
2015,Octubre,0.4
2015,Noviembre,0.1
2015,Diciembre,0.3
2016,Enero,0.3
2016,Febrero,-0.1
2016,Marzo,0
2016,Abril,-0.3
2016,Mayo,-0.1
2016,Junio,0
2016,Julio,0.2
2016,Agosto,0.2
2016,Septiembre,0.4
2016,Octubre,0.5
2016,Noviembre,0.6
2016,Diciembre,1.1
2017,Enero,1.7
2017,Febrero,2
2017,Marzo,1.5
2017,Abril,1.9
2017,Mayo,1.4
2017,Junio,1.3
2017,Julio,1.3
2017,Agosto,1.5
2017,Septiembre,1.6
2017,Octubre,1.4
2017,Noviembre,1.5
2017,Diciembre,1.3
2018,Enero,1.3
2018,Febrero,1.1
2018,Marzo,1.4
2018,Abril,1.2
2018,Mayo,2
2018,Junio,2
2018,Julio,2.2
2018,Agosto,2.1
2018,Septiembre,2.1
2018,Octubre,2.3
2018,Noviembre,1.9
2018,Diciembre,1.5
2019,Enero,1.4
2019,Febrero,1.5
2019,Marzo,1.4
2019,Abril,1.7
2019,Mayo,1.2
2019,Junio,1.3
2019,Julio,1
2019,Agosto,1
2019,Septiembre,0.8
2019,Octubre,0.7
2019,Noviembre,1
2019,Diciembre,1.3
2020,Enero,1.4
2020,Febrero,1.2
2020,Marzo,0.7
2020,Abril,0.3
2020,Mayo,0.1
2020,Junio,0.3
2020,Julio,0.4
2020,Agosto,-0.2
2020,Septiembre,-0.3
2020,Octubre,-0.3
2020,Noviembre,-0.3
2020,Diciembre,-0.3
2021,Enero,0.9
2021,Febrero,0.9
2021,Marzo,1.3
2021,Abril,1.6
2021,Mayo,2
2021,Junio,1.9
2021,Julio,2.2
2021,Agosto,3
2021,Septiembre,3.4
2021,Octubre,4.1
2021,Noviembre,4.9
2021,Diciembre,5
2022,Enero,5.1
2022,Febrero,5.9
2022,Marzo,7.4
2022,Abril,7.4
2022,Mayo,8.1
2022,Junio,8.6
2022,Julio,8.9
2022,Agosto,9.1
2022,Septiembre,9.9
2022,Octubre,10.6
2022,Noviembre,10.1
2022,Diciembre,9.2
2023,Enero,8.6
2023,Febrero,8.5
2023,Marzo,6.9
2023,Abril,7
2023,Mayo,6.1
2023,Junio,5.5
2023,Julio,5.3
2023,Agosto,5.2
2023,Septiembre,4.3
2023,Octubre,2.9
2023,Noviembre,2.4
2023,Diciembre,2.9
2024,Enero,2.8
2024,Febrero,2.6
2024,Marzo,2.4
2024,Abril,2.4